Customer_id,Recency,Frequency,Monetary,labels
RetailerID84,0,21,2542,2
RetailerID85,1,129,27074,0
RetailerID86,0,123,22974,0
RetailerID87,0,40,6708,0
RetailerID88,1,30,3638,2
RetailerID89,250,9,2736,4
RetailerID9,0,375,85496,3
RetailerID90,0,223,1418292,3
RetailerID91,0,160,32853,0
RetailerID92,243,6,1059,1
RetailerID94,0,183,33105,0
RetailerID95,0,307,603268,3
RetailerID96,0,11,2494,2
RetailerID97,61,38,9883,4
RetailerID98,0,100,38032,0
RetailerID99,251,6,822,1
